fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,fixed acidity (std),volatile acidity (norm),residual sugar (log),SO2 aggregate,pH (binned),alcohol (binary)
7.7,0.56,0.08,2.5,0.114,14.0,46.0,0.9971,3.24,0.66,9.6,6,-0.3558891411373163,0.30136986301369867,1.252762968495368,60.0,Medium,0
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,-0.29845406476685127,0.2602739726027397,0.9555114450274363,123.0,Medium,0
10.7,0.67,0.22,2.7,0.107,17.0,34.0,1.0004,3.28,0.98,9.9,6,1.3671631499766401,0.37671232876712335,1.308332819650179,51.0,Medium,0
8.5,0.46,0.31,2.25,0.078,32.0,58.0,0.998,3.33,0.54,9.8,5,0.10359146982640544,0.23287671232876714,1.1786549963416462,90.0,Medium,0
6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,6,-0.9302399048419686,0.23287671232876714,0.9932517730102833,52.0,Medium,1
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5,-0.6430645229896425,0.19863013698630136,1.1314021114911006,107.0,Medium,0
7.7,0.54,0.26,1.9,0.089,23.0,147.0,0.99636,3.26,0.59,9.7,5,-0.3558891411373163,0.28767123287671237,1.0647107369924282,170.0,Medium,0
7.0,0.78,0.08,2.0,0.093,10.0,19.0,0.9956,3.4,0.47,10.0,5,-0.7579346757305729,0.452054794520548,1.0986122886681098,29.0,Medium,0
8.2,0.39,0.38,1.5,0.058,10.0,29.0,0.9962,3.26,0.74,9.8,5,-0.06871375928499066,0.18493150684931509,0.9162907318741551,39.0,Medium,0
5.8,0.61,0.11,1.8,0.066,18.0,28.0,0.99483,3.55,0.66,10.9,6,-1.4471555921761559,0.3356164383561644,1.0296194171811581,46.0,Medium,1
10.5,0.51,0.64,2.4,0.107,6.0,15.0,0.9973,3.09,0.66,11.8,7,1.25229299723571,0.2671232876712329,1.2237754316221157,21.0,Low,1
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3,-0.9302399048419686,0.4383561643835617,1.0296194171811581,18.0,Medium,0
6.7,0.48,0.08,2.1,0.064,18.0,34.0,0.99552,3.33,0.64,9.7,5,-0.9302399048419686,0.2465753424657534,1.1314021114911006,52.0,Medium,0
7.0,0.56,0.13,1.6,0.077,25.0,42.0,0.99629,3.34,0.59,9.2,5,-0.7579346757305729,0.30136986301369867,0.9555114450274363,67.0,Medium,0
7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,9.4,6,-0.29845406476685127,0.15068493150684933,1.0986122886681098,82.0,Medium,0
8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,7,0.3333317753082665,0.10958904109589043,0.9932517730102833,19.0,Medium,1
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,-0.9302399048419686,0.3801369863013699,1.2237754316221157,99.0,Medium,1
10.1,0.43,0.4,2.6,0.092,13.0,52.0,0.99834,3.22,0.64,10.0,7,1.0225526917538488,0.2123287671232877,1.2809338454620642,65.0,Medium,0
9.4,0.3,0.56,2.8,0.08,6.0,17.0,0.9964,3.15,0.92,11.7,8,0.6205071571605927,0.1232876712328767,1.33500106673234,23.0,Low,1
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0.04615639345594041,0.4280821917808219,1.0647107369924282,79.0,Medium,0
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,-0.6430645229896425,0.4143835616438356,1.7316555451583497,15.0,Medium,1
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,-0.12614883565545568,0.29109589041095896,1.0647107369924282,48.0,Medium,0
6.3,0.6,0.1,1.6,0.048,12.0,26.0,0.99306,3.55,0.51,12.1,5,-1.1599802103238297,0.3287671232876712,0.9555114450274363,38.0,Medium,1
6.5,0.51,0.15,3.0,0.064,12.0,27.0,0.9929,3.33,0.59,12.8,6,-1.045110057582899,0.2671232876712329,1.3862943611198906,39.0,Medium,1
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,-0.29845406476685127,0.35958904109589046,1.0986122886681098,24.0,Medium,0
7.3,0.51,0.18,2.1,0.07,12.0,28.0,0.99768,3.52,0.73,9.5,6,-0.5856294466191774,0.2671232876712329,1.1314021114911006,40.0,Medium,0
12.9,0.35,0.49,5.8,0.066,5.0,35.0,1.0014,3.2,0.66,12.0,7,2.6307348301268756,0.15753424657534246,1.916922612182061,40.0,Medium,1
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,-0.8728048284715035,0.3493150684931507,1.1314021114911006,55.0,Medium,1
7.5,0.65,0.18,7.0,0.088,27.0,94.0,0.99915,3.38,0.77,9.4,5,-0.47075929387824683,0.363013698630137,2.0794415416798357,121.0,Medium,0
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,6,1.8266437609403623,0.0410958904109589,1.6094379124341003,27.0,Medium,1
7.3,0.585,0.18,2.4,0.078,15.0,60.0,0.99638,3.31,0.54,9.8,5,-0.5856294466191774,0.3184931506849315,1.2237754316221157,75.0,Medium,0
6.1,0.32,0.25,1.8,0.086,5.0,32.0,0.99464,3.36,0.44,10.1,5,-1.2748503630647603,0.13698630136986303,1.0296194171811581,37.0,Medium,1
8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6,6,-0.011278682914524617,0.09589041095890412,0.8754687373538999,31.0,Medium,0
10.2,0.67,0.39,1.9,0.054,6.0,17.0,0.9976,3.17,0.47,10.0,5,1.079987768124314,0.37671232876712335,1.0647107369924282,23.0,Medium,0
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,-0.700499599360108,0.3287671232876712,1.0296194171811581,50.0,Medium,0
8.2,0.6,0.17,2.3,0.072,11.0,73.0,0.9963,3.2,0.45,9.3,5,-0.06871375928499066,0.3287671232876712,1.1939224684724346,84.0,Medium,0
6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.99428,3.45,0.87,11.2,7,-1.2174152866942947,0.18493150684931509,1.0986122886681098,38.0,Medium,1
6.0,0.64,0.05,1.9,0.066,9.0,17.0,0.99496,3.52,0.78,10.6,5,-1.3322854394352253,0.35616438356164387,1.0647107369924282,26.0,Medium,1
12.0,0.63,0.5,1.4,0.071,6.0,26.0,0.99791,3.07,0.6,10.4,4,2.1138191427926882,0.3493150684931507,0.8754687373538999,32.0,Low,1
7.3,0.305,0.39,1.2,0.059,7.0,11.0,0.99331,3.29,0.52,11.5,6,-0.5856294466191774,0.1267123287671233,0.7884573603642702,18.0,Medium,1
12.7,0.6,0.65,2.3,0.063,6.0,25.0,0.9997,3.03,0.57,9.9,5,2.5158646773859448,0.3287671232876712,1.1939224684724346,31.0,Low,0
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,0.10359146982640544,0.2534246575342466,1.1939224684724346,76.0,Medium,0
10.2,0.29,0.49,2.6,0.059,5.0,13.0,0.9976,3.05,0.74,10.5,7,1.079987768124314,0.11643835616438356,1.2809338454620642,18.0,Low,1
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,-0.011278682914524617,0.3664383561643836,1.1939224684724346,128.0,Medium,0
10.6,0.36,0.6,2.2,0.152,7.0,18.0,0.9986,3.04,1.06,9.4,5,1.309728073606175,0.1643835616438356,1.1631508098056809,25.0,Low,0
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,-0.1835839120259207,0.4006849315068493,1.0647107369924282,27.0,Medium,1
10.4,0.24,0.46,1.8,0.075,6.0,21.0,0.9976,3.25,1.02,10.8,7,1.194857920865245,0.0821917808219178,1.0296194171811581,27.0,Medium,1
12.4,0.4,0.51,2.0,0.059,6.0,24.0,0.9994,3.04,0.6,9.3,6,2.3435594482745494,0.19178082191780824,1.0986122886681098,30.0,Low,0
7.7,0.96,0.2,2.0,0.047,15.0,60.0,0.9955,3.36,0.44,10.9,5,-0.3558891411373163,0.5753424657534246,1.0986122886681098,75.0,Medium,1
6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,10.4,6,-0.8728048284715035,0.363013698630137,1.1314021114911006,23.0,Medium,1
8.6,0.725,0.24,6.6,0.117,31.0,134.0,1.0014,3.32,1.07,9.3,5,0.16102654619687046,0.4143835616438356,2.028148247292285,165.0,Medium,0
8.6,0.49,0.51,2.0,0.422,16.0,62.0,0.9979,3.03,1.17,9.0,5,0.16102654619687046,0.2534246575342466,1.0986122886681098,78.0,Low,0
7.6,0.74,0.0,1.9,0.1,6.0,12.0,0.99521,3.36,0.59,11.0,5,-0.4133242175077818,0.4246575342465754,1.0647107369924282,18.0,Medium,1
5.1,0.585,0.0,1.7,0.044,14.0,86.0,0.99264,3.56,0.94,12.9,7,-1.8492011267694126,0.3184931506849315,0.9932517730102833,100.0,Medium,1
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,-0.9302399048419686,0.3424657534246575,1.0647107369924282,70.0,Medium,0
8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6,-0.06871375928499066,0.35616438356164387,1.0986122886681098,82.0,Low,0
6.8,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,3.4,0.82,11.2,6,-0.8728048284715035,0.30136986301369867,1.0296194171811581,39.0,Medium,1
6.6,0.64,0.31,6.1,0.083,7.0,49.0,0.99718,3.35,0.68,10.3,5,-0.9876749812124341,0.35616438356164387,1.9600947840472698,56.0,Medium,1
7.0,0.42,0.19,2.3,0.071,18.0,36.0,0.99476,3.39,0.56,10.9,5,-0.7579346757305729,0.2054794520547945,1.1939224684724346,54.0,Medium,1
6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.99689,3.59,0.66,9.8,5,-1.102545133953364,0.35616438356164387,1.0296194171811581,45.0,High,0
7.6,0.42,0.08,2.7,0.084,15.0,48.0,0.9968,3.21,0.59,10.0,5,-0.4133242175077818,0.2054794520547945,1.308332819650179,63.0,Medium,0
10.1,0.37,0.34,2.4,0.085,5.0,17.0,0.99683,3.17,0.65,10.6,7,1.0225526917538488,0.17123287671232876,1.2237754316221157,22.0,Medium,1
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5,-0.7579346757305729,0.2054794520547945,0.9555114450274363,55.0,Medium,0
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,-0.5856294466191774,0.18493150684931509,1.2237754316221157,55.0,Medium,0
10.8,0.29,0.42,1.6,0.084,19.0,27.0,0.99545,3.28,0.73,11.9,6,1.424598226347106,0.11643835616438356,0.9555114450274363,46.0,Medium,1
8.8,0.24,0.54,2.5,0.083,25.0,57.0,0.9983,3.39,0.54,9.2,5,0.2758966989378015,0.0821917808219178,1.252762968495368,82.0,Medium,0
10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.99565,3.22,0.63,11.8,6,1.079987768124314,0.11643835616438356,1.2237754316221157,23.0,Medium,1
7.2,0.65,0.02,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,9.7,5,-0.6430645229896425,0.363013698630137,1.1939224684724346,36.0,High,0
7.6,0.3,0.42,2.0,0.052,6.0,24.0,0.9963,3.44,0.82,11.9,6,-0.4133242175077818,0.1232876712328767,1.0986122886681098,30.0,Medium,1
9.1,0.45,0.35,2.4,0.08,23.0,78.0,0.9987,3.38,0.62,9.5,5,0.4482019280491966,0.226027397260274,1.2237754316221157,101.0,Medium,0
7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,6,-0.24101898839638572,0.13013698630136986,1.0647107369924282,50.0,Medium,1
7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,4,-0.7579346757305729,0.5856164383561644,1.0986122886681098,79.0,Medium,0
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,6,-0.011278682914524617,0.09589041095890412,1.0986122886681098,38.0,Medium,0
6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.99402,3.45,0.54,11.2,6,-1.2748503630647603,0.2465753424657534,0.9932517730102833,48.0,Medium,1
7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.99388,3.35,0.63,12.0,6,-0.5281943702487119,0.2534246575342466,1.1314021114911006,39.0,Medium,1
9.9,0.63,0.24,2.4,0.077,6.0,33.0,0.9974,3.09,0.57,9.4,5,0.9076825390129188,0.3493150684931507,1.2237754316221157,39.0,Low,0
5.5,0.49,0.03,1.8,0.044,28.0,87.0,0.9908,3.5,0.82,14.0,8,-1.6194608212875514,0.2534246575342466,1.0296194171811581,115.0,Medium,1
7.3,0.365,0.49,2.5,0.088,39.0,106.0,0.9966,3.36,0.78,11.0,5,-0.5856294466191774,0.1678082191780822,1.252762968495368,145.0,Medium,1
6.1,0.58,0.23,2.5,0.044,16.0,70.0,0.99352,3.46,0.65,12.5,6,-1.2748503630647603,0.3150684931506849,1.252762968495368,86.0,Medium,1
7.7,0.18,0.34,2.7,0.066,15.0,58.0,0.9947,3.37,0.78,11.8,6,-0.3558891411373163,0.0410958904109589,1.308332819650179,73.0,Medium,1
6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.99732,3.66,0.65,9.8,5,-1.045110057582899,0.23287671232876714,1.2237754316221157,46.0,High,0
10.5,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,3.23,0.76,12.0,6,1.25229299723571,0.1643835616438356,1.1631508098056809,32.0,Medium,1
6.8,0.59,0.1,1.7,0.063,34.0,53.0,0.9958,3.41,0.67,9.7,5,-0.8728048284715035,0.3219178082191781,0.9932517730102833,87.0,Medium,0
9.4,0.5,0.34,3.6,0.082,5.0,14.0,0.9987,3.29,0.52,10.7,6,0.6205071571605927,0.2602739726027397,1.5260563034950492,19.0,Medium,1
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,6,-0.24101898839638572,0.29109589041095896,1.6094379124341003,88.0,Medium,1
10.7,0.52,0.38,2.6,0.066,29.0,56.0,0.99577,3.15,0.79,12.1,7,1.3671631499766401,0.27397260273972607,1.2809338454620642,85.0,Low,1
9.0,0.45,0.49,2.6,0.084,21.0,75.0,0.9987,3.35,0.57,9.7,5,0.39076685167873154,0.226027397260274,1.2809338454620642,96.0,Medium,0
5.9,0.61,0.08,2.1,0.071,16.0,24.0,0.99376,3.56,0.77,11.1,6,-1.3897205158056902,0.3356164383561644,1.1314021114911006,40.0,Medium,1
10.1,0.31,0.35,1.6,0.075,9.0,28.0,0.99672,3.24,0.83,11.2,7,1.0225526917538488,0.13013698630136986,0.9555114450274363,37.0,Medium,1
6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,4,-1.2174152866942947,0.45547945205479456,1.1314021114911006,19.0,High,0
9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73,11.8,7,0.6779422335310578,0.30136986301369867,1.2237754316221157,102.0,Medium,1
6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,6,-0.9302399048419686,0.2054794520547945,2.2617630984737906,172.0,Low,1
5.6,0.54,0.04,1.7,0.049,5.0,13.0,0.9942,3.72,0.58,11.4,5,-1.5620257449170865,0.28767123287671237,0.9932517730102833,18.0,High,1
12.7,0.6,0.49,2.8,0.075,5.0,19.0,0.9994,3.14,0.57,11.4,5,2.5158646773859448,0.3287671232876712,1.33500106673234,24.0,Low,1
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,-1.5620257449170865,0.13013698630136986,0.8754687373538999,108.0,Medium,0
8.9,0.24,0.39,1.6,0.074,3.0,10.0,0.99698,3.12,0.59,9.5,6,0.3333317753082665,0.0821917808219178,0.9555114450274363,13.0,Low,0
7.5,0.61,0.26,1.9,0.073,24.0,88.0,0.99612,3.3,0.53,9.8,5,-0.47075929387824683,0.3356164383561644,1.0647107369924282,112.0,Medium,0
7.2,0.53,0.13,2.0,0.058,18.0,22.0,0.99573,3.21,0.68,9.9,6,-0.6430645229896425,0.2808219178082192,1.0986122886681098,40.0,Medium,0
7.2,0.835,0.0,2.0,0.166,4.0,11.0,0.99608,3.39,0.52,10.0,5,-0.6430645229896425,0.4897260273972603,1.0986122886681098,15.0,Medium,0
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,-0.29845406476685127,0.2808219178082192,0.9932517730102833,48.0,Medium,0
